epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
80,16710.8,0.85894,2.49629,1.84753,0.83289,0.62134,0.72376,0.47858,0.79674,1.68559,1.73705,0.0142158,0.0047386,0.0142158,0.0047386,0.0142158,0.0047386,0.0142158,0.0047386
81,16918.3,0.85616,2.49281,1.84182,0.83426,0.62151,0.72451,0.47967,0.79515,1.67874,1.73446,0.014016,0.004672,0.014016,0.004672,0.014016,0.004672,0.014016,0.004672
82,17125.9,0.86337,2.5124,1.84756,0.84124,0.6217,0.72569,0.48152,0.79366,1.67514,1.73234,0.0138162,0.0046054,0.0138162,0.0046054,0.0138162,0.0046054,0.0138162,0.0046054
83,17333.5,0.85615,2.4696,1.84724,0.83391,0.62391,0.72448,0.48174,0.79219,1.67182,1.73061,0.0136164,0.0045388,0.0136164,0.0045388,0.0136164,0.0045388,0.0136164,0.0045388
84,17541,0.84787,2.42613,1.83254,0.82996,0.62774,0.72572,0.48337,0.79039,1.66602,1.72801,0.0134166,0.0044722,0.0134166,0.0044722,0.0134166,0.0044722,0.0134166,0.0044722
85,17748.5,0.85226,2.42808,1.82416,0.8321,0.62685,0.72505,0.48412,0.7884,1.66198,1.72575,0.0132168,0.0044056,0.0132168,0.0044056,0.0132168,0.0044056,0.0132168,0.0044056
86,17956,0.8511,2.44618,1.82885,0.83479,0.62509,0.72547,0.48537,0.78743,1.65887,1.72393,0.013017,0.004339,0.013017,0.004339,0.013017,0.004339,0.013017,0.004339
87,18163.4,0.84348,2.4296,1.81943,0.82981,0.62842,0.72635,0.48617,0.78591,1.65353,1.72227,0.0128172,0.0042724,0.0128172,0.0042724,0.0128172,0.0042724,0.0128172,0.0042724
88,18370.8,0.8441,2.41981,1.8268,0.82974,0.63279,0.72759,0.48754,0.78468,1.64933,1.72058,0.0126174,0.0042058,0.0126174,0.0042058,0.0126174,0.0042058,0.0126174,0.0042058
89,18578.2,0.84573,2.41344,1.82302,0.82849,0.63403,0.72802,0.48806,0.78361,1.64614,1.7192,0.0124176,0.0041392,0.0124176,0.0041392,0.0124176,0.0041392,0.0124176,0.0041392
